2026-09-16 17:32:25,USD,10000,25280,252800000.00,TRANSFER_BUY
2026-09-16 17:32:35,JPY,10000,170.10,1701000.00,TRANSFER_BUY
2026-09-16 17:36:07,SGD,10000,19100,191000000.00,TRANSFER_BUY
2026-09-16 17:36:09,SGD,10000,19100,191000000.00,TRANSFER_BUY
2026-09-16 17:36:11,CAD,10000,18100,181000000.00,TRANSFER_BUY
2026-09-16 17:47:09,USD,10000,25280,252800000.00,TRANSFER_BUY
2026-09-16 17:47:11,JPY,10000,170.10,1701000.00,TRANSFER_BUY
2026-09-16 17:47:14,CAD,10000,18100,181000000.00,TRANSFER_BUY
2026-09-16 17:47:16,CAD,10000,18000,180000000.00,BUY
2026-09-16 17:47:18,CAD,10000,18100,181000000.00,TRANSFER_BUY
